nome;descricao;categoria;texto;categoria_genai;validacao_categoria
 Extraordinário ;Produto Novo“Extraordinário” é um livro que conquistou diversos públicos e foi adaptado para o cinema ainda em 2017! Aproveite para ler o livro e conhecer essa história inteligente, sensível e leve que traz mensagens sutis e humanas, deixando uma verdadeira lição de vida sobre respeito e amor ao próximo. “Toda pessoa deveria ser aplaudida de pé pelo menos uma vez na vida, porque todos nós vencemos o mundo” August Pullman (Extraordinário)  Não julgue um menino pela cara  Não existe nome mais adequado para este livro: “Extraordinário”. De leitura dinâmica, prazerosa e envolvente, “Extraordinário” conta a história de August Pullman, o Auggie, uma criança que nasceu com uma séria síndrome genética que o deixou com deformidades faciais, fazendo com que ele passasse por diversas cirurgias e complicações médicas ao longo dos seus poucos anos de vida. Auggie foi educado em casa até os 10 anos, quando começou a frequentar o quinto ano em uma escola de verdade. Ser o aluno novo não é fácil, mas com um rosto tão diferente pode ser ainda mais difícil! Auggie vai ter que convencer seus colegas do colégio particular de Nova York que, apesar de sua aparência diferente, ele é um menino igual a todos os outros.CaracterísticasAutor: R. J. PalacioPeso: 0.35I.S.B.N.: 9788580573015Altura: 23.000000Largura: 16.000000Profundidade: 1.000000Número de Páginas: 320Idioma: PortuguêsAcabamento: BrochuraTradutor: Rachel AgavinoNúmero da edição: 1Ano da edição: 2013Segmento: Ficção - Histórias inquietantes - Dramas;livro;Extraordinário  Produto Novo“Extraordinário” é um livro que conquistou diversos públicos e foi adaptado para o cinema ainda em 2017! Aproveite para ler o livro e conhecer essa história inteligente, sensível e leve que traz mensagens sutis e humanas, deixando uma verdadeira lição de vida sobre respeito e amor ao próximo. “Toda pessoa deveria ser aplaudida de pé pelo menos uma vez na vida, porque todos nós vencemos o mundo” August Pullman (Extraordinário)  Não julgue um menino pela cara  Não existe nome mais adequado para este livro: “Extraordinário”. De leitura dinâmica, prazerosa e envolvente, “Extraordinário” conta a história de August Pullman, o Auggie, uma criança que nasceu com uma séria síndrome genética que o deixou com deformidades faciais, fazendo com que ele passasse por diversas cirurgias e complicações médicas ao longo dos seus poucos anos de vida. Auggie foi educado em casa até os 10 anos, quando começou a frequentar o quinto ano em uma escola de verdade. Ser o aluno novo não é fácil, mas com um rosto tão diferente pode ser ainda mais difícil! Auggie vai ter que convencer seus colegas do colégio particular de Nova York que, apesar de sua aparência diferente, ele é um menino igual a todos os outros.CaracterísticasAutor: R. J. PalacioPeso: 0.35I.S.B.N.: 9788580573015Altura: 23.000000Largura: 16.000000Profundidade: 1.000000Número de Páginas: 320Idioma: PortuguêsAcabamento: BrochuraTradutor: Rachel AgavinoNúmero da edição: 1Ano da edição: 2013Segmento: Ficção - Histórias inquietantes - Dramas;livro;correta
 Fifa 2018 Narração Português Completo Midia Digital X360 ;"FIFA 2018 - XBOX 360 MIDIA DIGITAL COMPLETOATENÇÃO: JOGO É DIGITAL !!!!!!Jogo original completo licenciado pela xbox live !!!> APROVEITE NOSSA PROMOÇÃO <Jogo original completo licenciado pela xbox live !!!Jogo completo, você jogará normal em seu PERFIL PESSOAL na xbox live, online ou offline como quiser, não é codigo 25 digitos, para facilitar sua instalação em seu console, mandaremos um tutorial ensinando todo passo a passo fique tranquilo.NA HORA DE COMPRAR SELECIONE:"" RETIRAR COM VENDEDOR ""NÃO É NECESSÁRIO PAGAR FRETE, PRODUTO DIGITAL !!!ENTREGAMOS EM ATÉ 20 MINUTOS...APROVEITE A PROMOÇÃO PREÇO MAIS BARATO QUE A PROPRIA XBOX LIVE !!!JOGO SOMENTE DISPONIVEL PARA XBOX 360 !!JOGO SOMENTE DISPONIVEL PARA XBOX 360 !!JOGO SOMENTE DISPONIVEL PARA XBOX 360 !!Sou Vendedor AutorizadoLei dos direitos autorais nº 5.988, de 14 de dezembro de 1973.LEI Nº 9.610, DE 19 DE FEVEREIRO DE 1998.Estamos de acordo com os Termos e Condições Gerais do SitePolitica do MERCADO LIVRE descrito na clausula 5.3";game;"Fifa 2018 Narração Português Completo Midia Digital X360  FIFA 2018 - XBOX 360 MIDIA DIGITAL COMPLETOATENÇÃO: JOGO É DIGITAL !!!!!!Jogo original completo licenciado pela xbox live !!!> APROVEITE NOSSA PROMOÇÃO <Jogo original completo licenciado pela xbox live !!!Jogo completo, você jogará normal em seu PERFIL PESSOAL na xbox live, online ou offline como quiser, não é codigo 25 digitos, para facilitar sua instalação em seu console, mandaremos um tutorial ensinando todo passo a passo fique tranquilo.NA HORA DE COMPRAR SELECIONE:"" RETIRAR COM VENDEDOR ""NÃO É NECESSÁRIO PAGAR FRETE, PRODUTO DIGITAL !!!ENTREGAMOS EM ATÉ 20 MINUTOS...APROVEITE A PROMOÇÃO PREÇO MAIS BARATO QUE A PROPRIA XBOX LIVE !!!JOGO SOMENTE DISPONIVEL PARA XBOX 360 !!JOGO SOMENTE DISPONIVEL PARA XBOX 360 !!JOGO SOMENTE DISPONIVEL PARA XBOX 360 !!Sou Vendedor AutorizadoLei dos direitos autorais nº 5.988, de 14 de dezembro de 1973.LEI Nº 9.610, DE 19 DE FEVEREIRO DE 1998.Estamos de acordo com os Termos e Condições Gerais do SitePolitica do MERCADO LIVRE descrito na clausula 5.3";game;correta
 Kit Mega Sarutobi Kunai Naruto Asuma Shurikens Kit Ninja ;Descrição do Kit Ninja (Foto):Uma Kunai Asuma de Borracha de aproximadamente 28cmUma Kunai Naruto de Borracha com 25cmDuas Shurikens de Borracha com 10cm cadaDuas Tags Individuais;brinquedo;Kit Mega Sarutobi Kunai Naruto Asuma Shurikens Kit Ninja  Descrição do Kit Ninja (Foto):Uma Kunai Asuma de Borracha de aproximadamente 28cmUma Kunai Naruto de Borracha com 25cmDuas Shurikens de Borracha com 10cm cadaDuas Tags Individuais;brinquedo;correta
 Caixa 50 Cores Batom Queen Fosco Matte Nude Kit Atacado Top ;CAIXA C/ 50 CORES DIFERENTES!BATOM MATTE QUEEN!Kit com 50 cores - Batom Queen Matte Fosco!São 50 cores diferentes conforme fotos! Cores: 01 à 50.Acompanha Caixa Display com amostras!Caixa sortida!;maquiagem;Caixa 50 Cores Batom Queen Fosco Matte Nude Kit Atacado Top  CAIXA C/ 50 CORES DIFERENTES!BATOM MATTE QUEEN!Kit com 50 cores - Batom Queen Matte Fosco!São 50 cores diferentes conforme fotos! Cores: 01 à 50.Acompanha Caixa Display com amostras!Caixa sortida!;maquiagem;correta
 Box Dourado Crónica De Gelo E Fogo Edição De Colecionador . ;A série Crônicas de Gelo e apresentações. São mais de 30 milhões de livros vendidos ao redor do mundo - e cerca de 2 milhões do Brasil. Os números, assim como a profusão de tramas e personagens impressiona e atrai mais fãs a cada dia. Para satisfazer a ânsia dos aficionados e dos novos leitores, a Editora Leya publica uma nova edição limitada de Box Crônicas de Gelo e Fogo com os cinco livros já escritos:VOLUME 1 - A GUERRA DOS TRONOS:No fictício Continente Westeros, uma terra onde o verão pode durar décadas e o inverno toda uma vida, os problemas estão apenas começando. O frio está de volta e nas florestas ao norte de Winterfell, forças sobrenaturais se espalham por trás da Muralha que protege a região. No centro do conflito estão os Stark, do reino de Winterfell. VOLUME 2 - A FÚRIA DOS REIS:Quando um cometa vermelho cruza os céus de Westeros, os Sete Reinos estão em plena guerra civil. Os exércitos dos Stark e dos Lannister estão se preparando para o confronto final, e Stannis, irmão do falecido Rei Robert, desejoso de possuir um exército que lute pela sua reivindicação ao trono, alia-se a uma misteriosa religião oriental. Porém, seu irmão mais novo também se proclama rei. E, enquanto isso, os Greyjoy planejam vingança contra todos os que os humilharam dez anos atrás.VOLUME 3 - A TORMENTA DE ESPADAS:Enquanto os Sete Reinos estremecem com a chegada dos temíveis selvagens pela Muralha, Jon Snow, o Bastardo de Winterfell, que se encontra entre eles, divide-se entre sua consciência e o papel que é forçado a desempenhar. Robb Stark, o Jovem Lobo, vence todas as suas batalhas. E Arya continua a caminho de Correrrio. Na corte de Joffrey, em Porto Real, Tyrion luta pela vida  e Sansa, precisa lidar com as consequências de ser a segunda na linha de sucessão de Winterfell, uma vez que Bran e Rickon estariam mortos. VOLUME 4 - O FESTIM DOS CORVOS:Uma reviravolta nos Sete Reinos! Traições, mortes, novos senhores, novas alianças, alguns velhos traidores e o anúncio de dragões vivos além-mar. Ajudada por Mindinho, que tem outros planos para a garota que agora é a Senhora de Winterfell, Sansa finalmente conseguiu fugir do castelo em Porto Real, já que Robb e Catelyn foram executados pelos Frey, e Bran e Rickon desapareceram. Arya está sozinha vagando pelas florestas de Westeros em busca do Castelo Preto e Branco. E John Snow, agora comandante da Patrulha da Noite.VOLUME 5 - A DANÇA DOS DRAGÕES:Daenerys Targaryen governa uma cidade construída sobre o pó e a morte e aprende que conquistar algo é mais fácil do que modificá-lo. Tyrion precisa pegar em armas para se salvar e descobre que um homem pequeno com um escudo grande pode realmente confundir os inimigos. Enquanto isso, Bran prossegue a sua viagem, enquanto outras acontecem para a Baía dos Escravos e Daenerys percebe que seus inimigos estão cada vez mais numerosos e sedentos para destruí-la. Informações técnicas:- Autor: George R. R. Martin - Tipo de Capa: Brochura - Formato: Pocket ;livro;Box Dourado Crónica De Gelo E Fogo Edição De Colecionador .  A série Crônicas de Gelo e apresentações. São mais de 30 milhões de livros vendidos ao redor do mundo - e cerca de 2 milhões do Brasil. Os números, assim como a profusão de tramas e personagens impressiona e atrai mais fãs a cada dia. Para satisfazer a ânsia dos aficionados e dos novos leitores, a Editora Leya publica uma nova edição limitada de Box Crônicas de Gelo e Fogo com os cinco livros já escritos:VOLUME 1 - A GUERRA DOS TRONOS:No fictício Continente Westeros, uma terra onde o verão pode durar décadas e o inverno toda uma vida, os problemas estão apenas começando. O frio está de volta e nas florestas ao norte de Winterfell, forças sobrenaturais se espalham por trás da Muralha que protege a região. No centro do conflito estão os Stark, do reino de Winterfell. VOLUME 2 - A FÚRIA DOS REIS:Quando um cometa vermelho cruza os céus de Westeros, os Sete Reinos estão em plena guerra civil. Os exércitos dos Stark e dos Lannister estão se preparando para o confronto final, e Stannis, irmão do falecido Rei Robert, desejoso de possuir um exército que lute pela sua reivindicação ao trono, alia-se a uma misteriosa religião oriental. Porém, seu irmão mais novo também se proclama rei. E, enquanto isso, os Greyjoy planejam vingança contra todos os que os humilharam dez anos atrás.VOLUME 3 - A TORMENTA DE ESPADAS:Enquanto os Sete Reinos estremecem com a chegada dos temíveis selvagens pela Muralha, Jon Snow, o Bastardo de Winterfell, que se encontra entre eles, divide-se entre sua consciência e o papel que é forçado a desempenhar. Robb Stark, o Jovem Lobo, vence todas as suas batalhas. E Arya continua a caminho de Correrrio. Na corte de Joffrey, em Porto Real, Tyrion luta pela vida  e Sansa, precisa lidar com as consequências de ser a segunda na linha de sucessão de Winterfell, uma vez que Bran e Rickon estariam mortos. VOLUME 4 - O FESTIM DOS CORVOS:Uma reviravolta nos Sete Reinos! Traições, mortes, novos senhores, novas alianças, alguns velhos traidores e o anúncio de dragões vivos além-mar. Ajudada por Mindinho, que tem outros planos para a garota que agora é a Senhora de Winterfell, Sansa finalmente conseguiu fugir do castelo em Porto Real, já que Robb e Catelyn foram executados pelos Frey, e Bran e Rickon desapareceram. Arya está sozinha vagando pelas florestas de Westeros em busca do Castelo Preto e Branco. E John Snow, agora comandante da Patrulha da Noite.VOLUME 5 - A DANÇA DOS DRAGÕES:Daenerys Targaryen governa uma cidade construída sobre o pó e a morte e aprende que conquistar algo é mais fácil do que modificá-lo. Tyrion precisa pegar em armas para se salvar e descobre que um homem pequeno com um escudo grande pode realmente confundir os inimigos. Enquanto isso, Bran prossegue a sua viagem, enquanto outras acontecem para a Baía dos Escravos e Daenerys percebe que seus inimigos estão cada vez mais numerosos e sedentos para destruí-la. Informações técnicas:- Autor: George R. R. Martin - Tipo de Capa: Brochura - Formato: Pocket;livro;correta
 Dragon Ball Z Majin Boo - Shodo Bandai ;- Dragon Ball Z Shodo- Figura Majin Boo- Fabricante Bandai- Tamanho aproximadamente 10cm de altura- Articulado com 4 maos extra- Produto novo lacrado na embalagem original Bandai- Pronta entrega;brinquedo;Dragon Ball Z Majin Boo - Shodo Bandai  - Dragon Ball Z Shodo- Figura Majin Boo- Fabricante Bandai- Tamanho aproximadamente 10cm de altura- Articulado com 4 maos extra- Produto novo lacrado na embalagem original Bandai- Pronta entrega;brinquedo;correta
 Bonecos Vingadores Marvel Avengers Dc Luz E Som Liga D ;O ENVIO MAIS RÁPIDO DO MERCADO LIVRE!DE 1 A 12 HORAS ÚTEIS APÓS A LIBERAÇÃO DA ETIQUETA PARA ENVIO!O ÚNICO COM 90 DIAS DE GARANTIA CONTRA DEFEITO DE FABRICAÇÃO!!!PRODUTO A PRONTA ENTREGA! VALOR UNITÁRIO!FAVOR INFORMAR O PERSONAGEM DESEJADO NO CAMPO PERGUNTE AO VENDEDOR!BONECOS COM LUZ NO PEITO E SOM.TAMANHO 30 CM!!Produto Importado, 100% novo!Excelente opção para presentear e decorar festas!TEMOS ALGUNS ATRASOS NA NOSSA REPUTAÇÃO PORQUE ALGUNS CLIENTES FAZEM A COMPRA E NÃO INFORMAM QUAL PERSONAGEM DEVEMOS ENVIAR!POR FAVOR, APÓS A COMPRA NOS INFORME QUAIS PERSONAGENS DESEJA!CONTE CONOSCO PARA ENVIARMOS O MAIS RÁPIDO POSSÍVEL!!!;brinquedo;Bonecos Vingadores Marvel Avengers Dc Luz E Som Liga D  O ENVIO MAIS RÁPIDO DO MERCADO LIVRE!DE 1 A 12 HORAS ÚTEIS APÓS A LIBERAÇÃO DA ETIQUETA PARA ENVIO!O ÚNICO COM 90 DIAS DE GARANTIA CONTRA DEFEITO DE FABRICAÇÃO!!!PRODUTO A PRONTA ENTREGA! VALOR UNITÁRIO!FAVOR INFORMAR O PERSONAGEM DESEJADO NO CAMPO PERGUNTE AO VENDEDOR!BONECOS COM LUZ NO PEITO E SOM.TAMANHO 30 CM!!Produto Importado, 100% novo!Excelente opção para presentear e decorar festas!TEMOS ALGUNS ATRASOS NA NOSSA REPUTAÇÃO PORQUE ALGUNS CLIENTES FAZEM A COMPRA E NÃO INFORMAM QUAL PERSONAGEM DEVEMOS ENVIAR!POR FAVOR, APÓS A COMPRA NOS INFORME QUAIS PERSONAGENS DESEJA!CONTE CONOSCO PARA ENVIARMOS O MAIS RÁPIDO POSSÍVEL!!!;brinquedo;correta
 Fifa 18 Fifa 2018 Ps3 Psn Mídia Digital Jogo Download ;POR FAVOR NÃO ESQUEÇA DE SELECIONAR A OPÇÃO RETIRAR O VENDEDOR CASO CONTRARIO TERÁ QUE REFAZER A COMPRAÁudio: Português BR (Narração Thiago Leifert e Caio Ribeiro)Legenda: Português BRTamanho: 5.8 GBLEIA ANTES DE COMPRAR:PRODUTO DIGITAL, NÃO É CD. ESTAMOS DENTRO DAS NORMAS DA SONY.INSTALE E JOGUE HOJE! AO COMPRAR COLOQUE O FRETE 'RETIRAR NO ENDEREÇO DO VENDEDOR' POIS É ENTREGUE POR WHATSAPP POS COMPRA COM SUPORTE TOTAL, SÓ FUNCIONA EM PS3 BLOQUEADO, POIS SE TRATA DE UM PRODUTO 100% ORIGINAL E COMPLETO. AO COMPRAR VOCÊ RECEBE OS DADOS VIA EMAIL, UMA ID E UM CÓDIGO ONDE VOCÊ DEVE USAR PARA INSTALAR EM 1 CONSOLE, JOGA PELO SEU UTILIZADOR, GANHA TROFÉUS NORMALMENTE, ETC. JOGA OFFLINE E ONLINE(CASO TENHA) FICA PARA SEMPRE EM SEU HD! ENVIAMOS TUTORIAL E DAMOS SUPORTE TOTAL.ENTREGA IMEDIATA OU ATÉ 3 HORAS DEPENDENDO DA DISPONIBILIDADE.TEMOS HORÁRIOS DE ENVIO PORTANTO PERGUNTE SE ESTAMOS ONLINENÃO É DE NOSSA RESPONSABILIDADE:- PROBLEMAS NO CONSOLE - RESERTS OU QUEDAS DE ENERGIA - DELETAR USUÁRIO OU O JOGO- DEFEITOS OU RESTAURAÇÕES- PROBLEMAS OU FORMATAÇÃO DO HD- PROBLEMAS POR NÃO TER SEGUIDO TUTORIAL PÓS COMPRAAO COMPRAR ESTA CONCORDANDO COM OS DADOS ACIMASE TRATA DE UM PRODUTO 100% DIGITAL,QUALQUER DÚVIDAS É SÓ PERGUNTAR QUE RESPONDEREI COM MUITO PRAZER.;game;Fifa 18 Fifa 2018 Ps3 Psn Mídia Digital Jogo Download  POR FAVOR NÃO ESQUEÇA DE SELECIONAR A OPÇÃO RETIRAR O VENDEDOR CASO CONTRARIO TERÁ QUE REFAZER A COMPRAÁudio: Português BR (Narração Thiago Leifert e Caio Ribeiro)Legenda: Português BRTamanho: 5.8 GBLEIA ANTES DE COMPRAR:PRODUTO DIGITAL, NÃO É CD. ESTAMOS DENTRO DAS NORMAS DA SONY.INSTALE E JOGUE HOJE! AO COMPRAR COLOQUE O FRETE 'RETIRAR NO ENDEREÇO DO VENDEDOR' POIS É ENTREGUE POR WHATSAPP POS COMPRA COM SUPORTE TOTAL, SÓ FUNCIONA EM PS3 BLOQUEADO, POIS SE TRATA DE UM PRODUTO 100% ORIGINAL E COMPLETO. AO COMPRAR VOCÊ RECEBE OS DADOS VIA EMAIL, UMA ID E UM CÓDIGO ONDE VOCÊ DEVE USAR PARA INSTALAR EM 1 CONSOLE, JOGA PELO SEU UTILIZADOR, GANHA TROFÉUS NORMALMENTE, ETC. JOGA OFFLINE E ONLINE(CASO TENHA) FICA PARA SEMPRE EM SEU HD! ENVIAMOS TUTORIAL E DAMOS SUPORTE TOTAL.ENTREGA IMEDIATA OU ATÉ 3 HORAS DEPENDENDO DA DISPONIBILIDADE.TEMOS HORÁRIOS DE ENVIO PORTANTO PERGUNTE SE ESTAMOS ONLINENÃO É DE NOSSA RESPONSABILIDADE:- PROBLEMAS NO CONSOLE - RESERTS OU QUEDAS DE ENERGIA - DELETAR USUÁRIO OU O JOGO- DEFEITOS OU RESTAURAÇÕES- PROBLEMAS OU FORMATAÇÃO DO HD- PROBLEMAS POR NÃO TER SEGUIDO TUTORIAL PÓS COMPRAAO COMPRAR ESTA CONCORDANDO COM OS DADOS ACIMASE TRATA DE UM PRODUTO 100% DIGITAL,QUALQUER DÚVIDAS É SÓ PERGUNTAR QUE RESPONDEREI COM MUITO PRAZER.;game;correta
 Pes 2018 Original Ps3 100% Dublado Português Barato Promoção ;DescriçãoAqui Nascem Lendas' apresenta a volta de PES com novas funções, novos modos e uma experiência de jogo incomparável.Com estas funções virarás uma lenda em Pro Evolution Soccer 2018:• Masterclass de Jogabilidade: fintas estratégicas, Real Touch+ e lances de bola parada levam a experiência de jogo a um novo patamar• Apresentação melhorada: novos menus e imagens de jogadores reais• Integração com Liga PES: participa na Liga PES em modos como myClub• Co-op Online: um modo de jogo cooperativo adicionado recentemente. Cria o teu clã, joga e leva-o até o topo da classificação• Jogo de Seleção Aleatória: este modo favorito dos fãs volta com nova estética e funções• Liga Master melhorada: experimenta a vida do treinador com novos torneios de pré-época, sistema de transferências melhorado, nova estética e funções • Visual Reality melhorado: nova iluminação, modelos de jogadores revisados e uma multidão de animações, desde expressões faciais até movimentos do corpo que dão vida ao jogoTamanho: 7.28 GB;game;Pes 2018 Original Ps3 100% Dublado Português Barato Promoção  DescriçãoAqui Nascem Lendas' apresenta a volta de PES com novas funções, novos modos e uma experiência de jogo incomparável.Com estas funções virarás uma lenda em Pro Evolution Soccer 2018:• Masterclass de Jogabilidade: fintas estratégicas, Real Touch+ e lances de bola parada levam a experiência de jogo a um novo patamar• Apresentação melhorada: novos menus e imagens de jogadores reais• Integração com Liga PES: participa na Liga PES em modos como myClub• Co-op Online: um modo de jogo cooperativo adicionado recentemente. Cria o teu clã, joga e leva-o até o topo da classificação• Jogo de Seleção Aleatória: este modo favorito dos fãs volta com nova estética e funções• Liga Master melhorada: experimenta a vida do treinador com novos torneios de pré-época, sistema de transferências melhorado, nova estética e funções • Visual Reality melhorado: nova iluminação, modelos de jogadores revisados e uma multidão de animações, desde expressões faciais até movimentos do corpo que dão vida ao jogoTamanho: 7.28 GB;game;correta
 Base- Stand -display Para Action Figure-pronta Entrega. ;Base -stand-Display para action figure -figura de ação -pronta entrega.Acrílico Transparente, chega até 17cm .Origem:ChinaCompatível com Sh figuart , Marvel legenda,select Diamond,gundam, cloth myth , cavaleiros do zodiaco.Envio emediato em 24 horas . Podendo ser enviado no mesmo dia da compra.Dúvidas pergunte;brinquedo;Base- Stand -display Para Action Figure-pronta Entrega.  Base -stand-Display para action figure -figura de ação -pronta entrega.Acrílico Transparente, chega até 17cm .Origem:ChinaCompatível com Sh figuart , Marvel legenda,select Diamond,gundam, cloth myth , cavaleiros do zodiaco.Envio emediato em 24 horas . Podendo ser enviado no mesmo dia da compra.Dúvidas pergunte;fora_escopo;divergente
